2026-04-28 15:45:00,199 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:45:00.199530+00:00
2026-04-28 15:45:09,668 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=9643 signal_id=- detail=Predicted move magnitude 4.3 pips below minimum 5.0
2026-04-28 15:45:09,668 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=5036 signal_id=- detail=Predicted move magnitude 4.3 pips below minimum 15.0
2026-04-28 15:50:00,004 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:50:00.004532+00:00
2026-04-28 15:50:07,199 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SUCCESS duration_ms=7179 signal_id=sig_d0f6038825 detail=EURUSD H1 BUY
2026-04-28 15:55:00,002 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T14:55:00.002481+00:00
2026-04-28 15:55:05,971 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SUCCESS duration_ms=5953 signal_id=sig_93cb74d5c4 detail=EURUSD H1 SELL
2026-04-28 16:00:00,005 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:00:00.005453+00:00
2026-04-28 16:00:00,179 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:00:00.179339+00:00
2026-04-28 16:00:23,866 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=11627 signal_id=- detail=Predicted move magnitude 5.2 pips below minimum 15.0
2026-04-28 16:00:25,125 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SUCCESS duration_ms=25080 signal_id=sig_7b6e2fbd98 detail=EURUSD H1 SELL
2026-04-28 16:05:00,007 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:05:00.006981+00:00
2026-04-28 16:05:14,791 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=14742 signal_id=- detail=Predicted move magnitude 2.6 pips below minimum 5.0
2026-04-28 16:10:00,003 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:10:00.003146+00:00
2026-04-28 16:10:07,768 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=7735 signal_id=- detail=Predicted move magnitude 4.5 pips below minimum 5.0
2026-04-28 16:15:00,001 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:15:00.001642+00:00
2026-04-28 16:15:00,126 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:15:00.126081+00:00
2026-04-28 16:15:10,414 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=5130 signal_id=- detail=Predicted move magnitude 2.0 pips below minimum 15.0
2026-04-28 16:15:10,416 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=10399 signal_id=- detail=Predicted move magnitude 2.0 pips below minimum 5.0
2026-04-28 16:20:00,002 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:20:00.002484+00:00
2026-04-28 16:20:06,496 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=6414 signal_id=- detail=Predicted move magnitude 1.7 pips below minimum 5.0
2026-04-28 16:25:00,003 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:25:00.003847+00:00
2026-04-28 16:25:09,058 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=8962 signal_id=- detail=Predicted move magnitude 3.6 pips below minimum 5.0
2026-04-28 16:30:00,005 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:30:00.005429+00:00
2026-04-28 16:30:00,145 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:30:00.145616+00:00
2026-04-28 16:30:14,751 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=7425 signal_id=- detail=Predicted move magnitude 2.4 pips below minimum 5.0
2026-04-28 16:30:14,753 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=14582 signal_id=- detail=Predicted move magnitude 2.6 pips below minimum 15.0
2026-04-28 16:35:00,003 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:35:00.003485+00:00
2026-04-28 16:35:08,998 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=8975 signal_id=- detail=Predicted move magnitude 1.6 pips below minimum 5.0
2026-04-28 16:40:00,005 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:40:00.005586+00:00
2026-04-28 16:40:06,832 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=6807 signal_id=- detail=Predicted move magnitude 1.7 pips below minimum 5.0
2026-04-28 16:45:00,003 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:45:00.003911+00:00
2026-04-28 16:45:00,140 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:45:00.140796+00:00
2026-04-28 16:45:16,312 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=7770 signal_id=- detail=Predicted move magnitude 0.5 pips below minimum 15.0
2026-04-28 16:45:16,314 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=16270 signal_id=- detail=Predicted move magnitude 0.5 pips below minimum 5.0
2026-04-28 16:50:00,005 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:50:00.005942+00:00
2026-04-28 16:50:06,289 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=6263 signal_id=- detail=Predicted move magnitude 2.9 pips below minimum 5.0
2026-04-28 16:55:00,006 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T15:55:00.006247+00:00
2026-04-28 16:55:07,826 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=7794 signal_id=- detail=Predicted move magnitude 0.5 pips below minimum 5.0
2026-04-28 17:00:00,000 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T16:00:00.000903+00:00
2026-04-28 17:00:00,135 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T16:00:00.135970+00:00
2026-04-28 17:00:08,020 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=7860 signal_id=- detail=Predicted move magnitude 2.4 pips below minimum 15.0
2026-04-28 17:00:16,671 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=16649 signal_id=- detail=Predicted move magnitude 0.7 pips below minimum 5.0
2026-04-28 17:05:00,701 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T16:05:00.701040+00:00
2026-04-28 17:05:00,969 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=252 signal_id=- detail=Outside active trading sessions
2026-04-28 17:10:00,002 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T16:10:00.002412+00:00
2026-04-28 17:10:00,365 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=350 signal_id=- detail=Outside active trading sessions
2026-04-28 17:15:00,006 | INFO | schedule.execution | run.start schedule_id=sch_6cd5896b93 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T16:15:00.006141+00:00
2026-04-28 17:15:00,135 | INFO | schedule.execution | run.start schedule_id=sch_f733a9b7f1 pair=EURUSD timeframe=H1 cron_tick=2026-04-28T16:15:00.135136+00:00
2026-04-28 17:15:00,736 | INFO | schedule.execution | run.end schedule_id=sch_6cd5896b93 status=SKIPPED duration_ms=709 signal_id=- detail=Outside active trading sessions
2026-04-28 17:15:00,740 | INFO | schedule.execution | run.end schedule_id=sch_f733a9b7f1 status=SKIPPED duration_ms=588 signal_id=- detail=Outside active trading sessions
